Linear Position, Run #4
Time ( s )	Linear Position ( m )
0,0000	0,000
0,0400	0,000
0,0800	0,000
0,1200	0,000
0,1600	0,000
0,2000	0,000
0,2400	0,000
0,2800	0,000
0,3200	0,000
0,3600	-3,750E-5
0,4000	0,000
0,4400	0,000
0,4800	0,000
0,5200	-3,750E-5
0,5600	-3,750E-5
0,6000	-3,750E-5
0,6400	-3,750E-5
0,6800	-3,750E-5
0,7200	-3,750E-5
0,7600	-3,750E-5
0,8000	-3,750E-5
0,8400	-3,750E-5
0,8800	-3,750E-5
0,9200	-3,750E-5
0,9600	-3,750E-5
1,0000	-3,750E-5
1,0400	-3,750E-5
1,0800	-3,750E-5
1,1200	-3,750E-5
1,1600	-3,750E-5
1,2000	-3,750E-5
1,2400	-3,750E-5
1,2800	-3,750E-5
1,3200	-3,750E-5
1,3600	-3,750E-5
1,4000	-3,750E-5
1,4400	-3,750E-5
1,4800	-3,750E-5
1,5200	-3,750E-5
1,5600	-3,750E-5
1,6000	-3,750E-5
1,6400	-3,750E-5
1,6800	-3,750E-5
1,7200	-3,750E-5
1,7600	-3,750E-5
1,8000	-3,750E-5
1,8400	-3,750E-5
1,8800	-3,750E-5
1,9200	-3,750E-5
1,9600	-3,750E-5
2,0000	-3,750E-5
2,0400	-3,750E-5
2,0800	-3,750E-5
2,1200	-3,750E-5
2,1600	-3,750E-5
2,2000	-3,750E-5
2,2400	-3,750E-5
2,2800	-3,750E-5
2,3200	-3,750E-5
2,3600	-3,750E-5
2,4000	-3,750E-5
2,4400	-3,750E-5
2,4800	-3,750E-5
2,5200	-3,750E-5
2,5600	-3,750E-5
2,6000	-3,750E-5
2,6400	-3,750E-5
2,6800	-3,750E-5
2,7200	-3,750E-5
2,7600	-3,750E-5
2,8000	-3,750E-5
2,8400	-3,750E-5
2,8800	-3,750E-5
2,9200	-3,750E-5
2,9600	-3,750E-5
3,0000	-3,750E-5
3,0400	-3,750E-5
3,0800	-3,750E-5
3,1200	-3,750E-5
3,1600	-3,750E-5
3,2000	-3,750E-5
3,2400	-3,750E-5
3,2800	-3,750E-5
3,3200	-3,750E-5
3,3600	-3,750E-5
3,4000	-3,750E-5
3,4400	-3,750E-5
3,4800	-3,750E-5
3,5200	-3,750E-5
3,5600	-3,750E-5
3,6000	-3,750E-5
3,6400	-3,750E-5
3,6800	-3,750E-5
3,7200	-3,750E-5
3,7600	-3,750E-5
3,8000	-3,750E-5
3,8400	-3,750E-5
3,8800	-3,750E-5
3,9200	-3,750E-5
3,9600	-3,750E-5
4,0000	-3,750E-5
4,0400	-3,750E-5
4,0800	-3,750E-5
4,1200	-3,750E-5
4,1600	-3,750E-5
4,2000	-3,750E-5
4,2400	-3,750E-5
4,2800	-3,750E-5
4,3200	-3,750E-5
4,3600	-3,750E-5
4,4000	-3,750E-5
4,4400	-3,750E-5
4,4800	-3,750E-5
4,5200	-3,750E-5
4,5600	-3,750E-5
4,6000	-3,750E-5
4,6400	-3,750E-5
4,6800	-3,750E-5
4,7200	-3,750E-5
4,7600	-3,750E-5
4,8000	-3,750E-5
4,8400	-3,750E-5
4,8800	-3,750E-5
4,9200	0,000
4,9600	3,750E-5
5,0000	0,000
5,0400	-1,125E-4
5,0800	-2,250E-4
5,1200	-3,750E-4
5,1600	-3,750E-4
5,2000	-1,500E-4
5,2400	1,500E-4
5,2800	1,875E-4
5,3200	1,875E-4
5,3600	-7,500E-5
5,4000	-1,875E-4
5,4400	2,250E-4
5,4800	1,875E-4
5,5200	1,500E-4
5,5600	-7,500E-5
5,6000	-7,125E-4
5,6400	-0,001
5,6800	-0,001
5,7200	-0,002
5,7600	-0,003
5,8000	-0,004
5,8400	-0,003
5,8800	-0,003
5,9200	-0,004
5,9600	-0,005
6,0000	-0,005
6,0400	-0,004
6,0800	-0,004
6,1200	-0,003
6,1600	-0,003
6,2000	-0,003
6,2400	-0,002
6,2800	-0,002
6,3200	-0,002
6,3600	-0,001
6,4000	-0,001
6,4400	-9,000E-4
6,4800	-1,500E-4
6,5200	2,625E-4
6,5600	9,750E-4
6,6000	0,002
6,6400	0,002
6,6800	0,002
6,7200	0,002
6,7600	0,003
6,8000	0,004
6,8400	0,005
6,8800	0,005
6,9200	0,005
6,9600	0,005
7,0000	0,005
7,0400	0,005
7,0800	0,004
7,1200	0,006
7,1600	0,006
7,2000	0,007
7,2400	0,006
7,2800	0,006
7,3200	0,007
7,3600	0,006
7,4000	0,005
7,4400	0,004
7,4800	0,004
7,5200	0,005
7,5600	0,006
7,6000	0,007
7,6400	0,007
7,6800	0,007
7,7200	0,008
7,7600	0,009
7,8000	0,010
7,8400	0,012
7,8800	0,012
7,9200	0,012
7,9600	0,011
8,0000	0,010
8,0400	0,008
8,0800	0,007
8,1200	0,007
8,1600	0,006
8,2000	0,006
8,2400	0,005
8,2800	0,006
8,3200	0,008
8,3600	0,009
8,4000	0,013
