Linear Position, Run #3
Time ( s )	Linear Position ( m )
11,8800	-0,030
11,9200	-0,030
11,9600	-0,030
12,0000	-0,030
12,0400	-0,030
12,0800	-0,030
12,1200	-0,030
12,1600	-0,030
12,2000	-0,030
12,2400	-0,030
12,2800	-0,030
12,3200	-0,030
12,3600	-0,030
12,4000	-0,030
12,4400	-0,030
12,4800	-0,030
12,5200	-0,030
12,5600	-0,030
12,6000	-0,030
12,6400	-0,030
12,6800	-0,030
12,7200	-0,030
12,7600	-0,030
12,8000	-0,030
12,8400	-0,030
12,8800	-0,030
12,9200	-0,030
12,9600	-0,030
13,0000	-0,030
13,0400	-0,030
13,0800	-0,030
13,1200	-0,030
13,1600	-0,030
13,2000	-0,030
13,2400	-0,030
13,2800	-0,030
13,3200	-0,030
13,3600	-0,030
13,4000	-0,030
13,4400	-0,030
13,4800	-0,030
13,5200	-0,030
13,5600	-0,030
13,6000	-0,030
13,6400	-0,030
13,6800	-0,030
13,7200	-0,030
13,7600	-0,030
13,8000	-0,030
13,8400	-0,030
13,8800	-0,030
13,9200	-0,030
13,9600	-0,030
14,0000	-0,030
14,0400	-0,030
14,0800	-0,030
14,1200	-0,030
14,1600	-0,030
14,2000	-0,030
