Linear Position, Run #2
Time ( s )	Linear Position ( m )
0,0000	7,500E-5
0,0400	7,500E-5
0,0800	7,500E-5
0,1200	7,500E-5
0,1600	7,500E-5
0,2000	7,500E-5
0,2400	7,500E-5
0,2800	7,500E-5
0,3200	7,500E-5
0,3600	7,500E-5
0,4000	7,500E-5
0,4400	7,500E-5
0,4800	7,500E-5
0,5200	7,500E-5
0,5600	7,500E-5
0,6000	7,500E-5
0,6400	7,500E-5
0,6800	7,500E-5
0,7200	7,500E-5
0,7600	7,500E-5
0,8000	7,500E-5
0,8400	7,500E-5
0,8800	7,500E-5
0,9200	7,500E-5
0,9600	7,500E-5
1,0000	7,500E-5
1,0400	7,500E-5
1,0800	7,500E-5
1,1200	7,500E-5
1,1600	7,500E-5
1,2000	7,500E-5
1,2400	7,500E-5
1,2800	7,500E-5
1,3200	7,500E-5
1,3600	7,500E-5
1,4000	7,500E-5
1,4400	7,500E-5
1,4800	7,500E-5
1,5200	7,500E-5
1,5600	7,500E-5
1,6000	7,500E-5
1,6400	7,500E-5
1,6800	7,500E-5
1,7200	7,500E-5
1,7600	7,500E-5
1,8000	7,500E-5
1,8400	7,500E-5
1,8800	7,500E-5
1,9200	7,500E-5
1,9600	7,500E-5
2,0000	7,500E-5
2,0400	7,500E-5
2,0800	7,500E-5
2,1200	7,500E-5
2,1600	7,500E-5
2,2000	7,500E-5
2,2400	7,500E-5
2,2800	7,500E-5
2,3200	7,500E-5
2,3600	7,500E-5
2,4000	7,500E-5
2,4400	7,500E-5
2,4800	7,500E-5
2,5200	7,500E-5
2,5600	7,500E-5
2,6000	7,500E-5
2,6400	7,500E-5
2,6800	7,500E-5
2,7200	7,500E-5
2,7600	7,500E-5
2,8000	7,500E-5
2,8400	7,500E-5
2,8800	7,500E-5
2,9200	7,500E-5
2,9600	7,500E-5
3,0000	7,500E-5
3,0400	7,500E-5
3,0800	7,500E-5
3,1200	7,500E-5
3,1600	7,500E-5
3,2000	7,500E-5
3,2400	7,500E-5
3,2800	7,500E-5
3,3200	7,500E-5
3,3600	7,500E-5
3,4000	7,500E-5
3,4400	7,500E-5
3,4800	7,500E-5
3,5200	7,500E-5
3,5600	7,500E-5
3,6000	7,500E-5
3,6400	7,500E-5
3,6800	7,500E-5
3,7200	7,500E-5
3,7600	7,500E-5
3,8000	7,500E-5
3,8400	7,500E-5
3,8800	7,500E-5
3,9200	7,500E-5
3,9600	7,500E-5
4,0000	7,500E-5
4,0400	7,500E-5
4,0800	7,500E-5
4,1200	0,000
4,1600	-1,875E-4
4,2000	-7,500E-5
4,2400	2,250E-4
4,2800	0,001
4,3200	0,001
4,3600	0,002
4,4000	0,002
4,4400	0,001
4,4800	0,001
4,5200	6,750E-4
4,5600	0,000
4,6000	-8,250E-4
4,6400	-0,001
4,6800	-7,500E-4
4,7200	-0,001
4,7600	-0,001
4,8000	-0,002
4,8400	-0,002
4,8800	-0,002
4,9200	-0,001
4,9600	-0,003
5,0000	-0,008
5,0400	-0,012
5,0800	-0,016
5,1200	-0,019
5,1600	-0,019
5,2000	-0,016
5,2400	-0,014
5,2800	-0,012
5,3200	-0,011
5,3600	-0,012
5,4000	-0,014
5,4400	-0,016
5,4800	-0,017
5,5200	-0,018
5,5600	-0,017
5,6000	-0,015
5,6400	-0,013
5,6800	-0,012
5,7200	-0,012
5,7600	-0,013
5,8000	-0,015
5,8400	-0,016
5,8800	-0,017
5,9200	-0,017
5,9600	-0,016
6,0000	-0,014
6,0400	-0,013
6,0800	-0,013
6,1200	-0,013
6,1600	-0,014
6,2000	-0,015
6,2400	-0,016
6,2800	-0,016
6,3200	-0,015
6,3600	-0,015
6,4000	-0,014
6,4400	-0,014
6,4800	-0,014
6,5200	-0,014
