Linear Position, Run #1
Time ( s )	Linear Position ( m )
0,0000	7,500E-5
0,0400	7,500E-5
0,0800	7,500E-5
0,1200	7,500E-5
0,1600	7,500E-5
0,2000	7,500E-5
0,2400	7,500E-5
0,2800	7,500E-5
0,3200	7,500E-5
0,3600	7,500E-5
0,4000	7,500E-5
0,4400	7,500E-5
0,4800	7,500E-5
0,5200	7,500E-5
0,5600	7,500E-5
0,6000	7,500E-5
0,6400	7,500E-5
0,6800	7,500E-5
0,7200	7,500E-5
0,7600	7,500E-5
0,8000	7,500E-5
0,8400	7,500E-5
0,8800	7,500E-5
0,9200	7,500E-5
0,9600	7,500E-5
1,0000	7,500E-5
1,0400	7,500E-5
1,0800	7,500E-5
1,1200	7,500E-5
1,1600	7,500E-5
1,2000	7,500E-5
1,2400	7,500E-5
1,2800	7,500E-5
1,3200	7,500E-5
1,3600	7,500E-5
1,4000	7,500E-5
1,4400	7,500E-5
1,4800	7,500E-5
1,5200	7,500E-5
1,5600	7,500E-5
1,6000	7,500E-5
1,6400	7,500E-5
1,6800	7,500E-5
1,7200	7,500E-5
1,7600	7,500E-5
1,8000	7,500E-5
1,8400	7,500E-5
1,8800	7,500E-5
1,9200	7,500E-5
1,9600	7,500E-5
2,0000	7,500E-5
2,0400	7,500E-5
2,0800	7,500E-5
2,1200	7,500E-5
2,1600	7,500E-5
2,2000	7,500E-5
2,2400	7,500E-5
2,2800	7,500E-5
2,3200	7,500E-5
2,3600	7,500E-5
2,4000	7,500E-5
2,4400	7,500E-5
2,4800	7,500E-5
2,5200	7,500E-5
2,5600	7,500E-5
2,6000	7,500E-5
2,6400	7,500E-5
2,6800	7,500E-5
2,7200	7,500E-5
2,7600	7,500E-5
2,8000	7,500E-5
2,8400	7,500E-5
2,8800	7,500E-5
2,9200	7,500E-5
2,9600	7,500E-5
3,0000	7,500E-5
3,0400	7,500E-5
3,0800	7,500E-5
3,1200	7,500E-5
3,1600	7,500E-5
3,2000	7,500E-5
3,2400	7,500E-5
3,2800	7,500E-5
3,3200	7,500E-5
3,3600	7,500E-5
3,4000	7,500E-5
3,4400	7,500E-5
3,4800	7,500E-5
3,5200	7,500E-5
3,5600	7,500E-5
3,6000	7,500E-5
3,6400	7,500E-5
3,6800	7,500E-5
3,7200	7,500E-5
3,7600	7,500E-5
3,8000	7,500E-5
3,8400	7,500E-5
3,8800	7,500E-5
3,9200	7,500E-5
3,9600	7,500E-5
4,0000	7,500E-5
4,0400	7,500E-5
4,0800	7,500E-5
4,1200	7,500E-5
4,1600	7,500E-5
4,2000	7,500E-5
4,2400	7,500E-5
4,2800	7,500E-5
4,3200	7,500E-5
4,3600	7,500E-5
4,4000	7,500E-5
4,4400	7,500E-5
4,4800	7,500E-5
4,5200	7,500E-5
4,5600	7,500E-5
4,6000	7,500E-5
4,6400	7,500E-5
4,6800	7,500E-5
4,7200	7,500E-5
4,7600	7,500E-5
4,8000	7,500E-5
4,8400	7,500E-5
4,8800	7,500E-5
4,9200	7,500E-5
4,9600	7,500E-5
5,0000	7,500E-5
5,0400	7,500E-5
5,0800	7,500E-5
5,1200	7,500E-5
5,1600	7,500E-5
5,2000	7,500E-5
5,2400	7,500E-5
5,2800	7,500E-5
5,3200	7,500E-5
5,3600	7,500E-5
5,4000	7,500E-5
5,4400	7,500E-5
5,4800	7,500E-5
5,5200	7,500E-5
5,5600	7,500E-5
5,6000	7,500E-5
5,6400	7,500E-5
5,6800	7,500E-5
5,7200	7,500E-5
5,7600	7,500E-5
5,8000	7,500E-5
5,8400	7,500E-5
5,8800	7,500E-5
5,9200	7,500E-5
5,9600	7,500E-5
6,0000	7,500E-5
6,0400	7,500E-5
6,0800	7,500E-5
6,1200	7,500E-5
