Linear Position, Run #1
Time ( s )	Linear Position ( m )
0,0000	0,000
0,0400	0,000
0,0800	0,000
0,1200	0,000
0,1600	0,000
0,2000	0,000
0,2400	0,000
0,2800	0,000
0,3200	0,000
0,3600	0,000
0,4000	0,000
0,4400	0,000
0,4800	0,000
0,5200	0,000
0,5600	0,000
0,6000	0,000
0,6400	0,000
0,6800	0,000
0,7200	0,000
0,7600	0,000
0,8000	0,000
0,8400	0,000
0,8800	0,000
0,9200	0,000
0,9600	0,000
1,0000	0,000
1,0400	0,000
1,0800	0,000
1,1200	0,000
1,1600	0,000
1,2000	0,000
1,2400	0,000
1,2800	0,000
1,3200	0,000
1,3600	0,000
1,4000	0,000
1,4400	0,000
1,4800	0,000
1,5200	0,000
1,5600	0,000
1,6000	-6,000E-4
1,6400	-0,002
1,6800	-3,375E-4
1,7200	0,001
1,7600	4,125E-4
1,8000	-2,250E-4
1,8400	-0,001
1,8800	-0,004
1,9200	-0,005
1,9600	-0,007
2,0000	-0,009
2,0400	-0,011
2,0800	-0,012
2,1200	-0,014
2,1600	-0,017
2,2000	-0,018
2,2400	-0,020
2,2800	-0,020
2,3200	-0,021
2,3600	-0,021
2,4000	-0,023
2,4400	-0,024
2,4800	-0,025
2,5200	-0,026
2,5600	-0,027
2,6000	-0,028
2,6400	-0,029
2,6800	-0,030
2,7200	-0,031
2,7600	-0,032
2,8000	-0,032
2,8400	-0,032
2,8800	-0,028
2,9200	-0,016
2,9600	1,125E-4
3,0000	0,016
3,0400	0,026
3,0800	0,029
3,1200	0,023
3,1600	0,011
3,2000	-0,004
3,2400	-0,018
3,2800	-0,026
3,3200	-0,027
3,3600	-0,020
3,4000	-0,008
3,4400	0,007
3,4800	0,019
3,5200	0,025
3,5600	0,024
3,6000	0,016
3,6400	0,004
3,6800	-0,009
3,7200	-0,019
3,7600	-0,023
3,8000	-0,021
3,8400	-0,013
3,8800	-8,625E-4
3,9200	0,011
3,9600	0,019
4,0000	0,021
4,0400	0,017
4,0800	0,009
4,1200	-0,002
4,1600	-0,012
4,2000	-0,019
4,2400	-0,020
4,2800	-0,015
4,3200	-0,007
4,3600	0,004
4,4000	0,012
4,4400	0,017
4,4800	0,017
4,5200	0,012
4,5600	0,003
4,6000	-0,005
4,6400	-0,012
4,6800	-0,015
4,7200	-0,014
4,7600	-0,009
4,8000	-0,001
4,8400	0,006
4,8800	0,012
4,9200	0,013
4,9600	0,011
5,0000	0,006
5,0400	-9,375E-4
5,0800	-0,007
5,1200	-0,011
5,1600	-0,012
5,2000	-0,009
5,2400	-0,004
5,2800	0,002
5,3200	0,007
5,3600	0,010
5,4000	0,010
5,4400	0,007
5,4800	0,002
5,5200	-0,003
5,5600	-0,007
5,6000	-0,008
5,6400	-0,007
5,6800	-0,004
5,7200	-2,625E-4
5,7600	0,003
5,8000	0,006
5,8400	0,007
5,8800	0,005
5,9200	0,002
5,9600	-9,750E-4
6,0000	-0,004
6,0400	-0,006
6,0800	-0,006
6,1200	-0,004
6,1600	-0,001
6,2000	0,002
6,2400	0,004
6,2800	0,005
6,3200	0,004
6,3600	0,003
6,4000	3,750E-4
6,4400	-0,002
6,4800	-0,003
6,5200	-0,003
6,5600	-0,003
6,6000	-0,001
6,6400	3,000E-4
6,6800	0,002
6,7200	0,003
6,7600	0,002
6,8000	0,002
6,8400	4,875E-4
6,8800	-8,250E-4
6,9200	-0,002
6,9600	-0,002
7,0000	-0,002
7,0400	-0,001
7,0800	-7,500E-5
7,1200	8,250E-4
7,1600	0,001
7,2000	0,001
7,2400	0,001
7,2800	4,125E-4
7,3200	-2,625E-4
7,3600	-7,125E-4
7,4000	-9,000E-4
7,4400	-7,500E-4
7,4800	-4,125E-4
7,5200	0,000
7,5600	3,000E-4
7,6000	4,500E-4
7,6400	4,125E-4
7,6800	2,250E-4
7,7200	0,000
7,7600	-2,250E-4
7,8000	-3,375E-4
7,8400	-3,375E-4
7,8800	-2,625E-4
7,9200	-1,125E-4
7,9600	-3,750E-5
8,0000	3,750E-5
8,0400	3,750E-5
8,0800	0,000
8,1200	-3,750E-5
8,1600	-7,500E-5
8,2000	-7,500E-5
8,2400	-7,500E-5
8,2800	-7,500E-5
8,3200	-7,500E-5
8,3600	-3,750E-5
8,4000	-3,750E-5
8,4400	-3,750E-5
8,4800	-3,750E-5
8,5200	-3,750E-5
8,5600	-3,750E-5
8,6000	-3,750E-5
8,6400	-7,500E-5
8,6800	-7,500E-5
8,7200	-7,500E-5
8,7600	-3,750E-5
8,8000	-3,750E-5
8,8400	0,000
8,8800	0,000
8,9200	0,000
8,9600	-3,750E-5
9,0000	-3,750E-5
9,0400	-3,750E-5
9,0800	-3,750E-5
9,1200	-3,750E-5
9,1600	-3,750E-5
9,2000	-3,750E-5
9,2400	-3,750E-5
9,2800	-3,750E-5
9,3200	-3,750E-5
9,3600	-3,750E-5
9,4000	-3,750E-5
