#Linear Position, Run #2
#Time ( s )	Linear Position ( m )
2,8800	0,011
2,9200	-0,004
2,9600	-0,016
3,0000	-0,022
3,0400	-0,018
3,0800	-0,008
3,1200	0,006
3,1600	0,017
3,2000	0,020
3,2400	0,016
3,2800	0,005
3,3200	-0,007
3,3600	-0,016
3,4000	-0,018
3,4400	-0,013
3,4800	-0,003
3,5200	0,008
3,5600	0,016
3,6000	0,017
3,6400	0,011
3,6800	0,001
3,7200	-0,009
3,7600	-0,015
3,8000	-0,014
3,8400	-0,008
3,8800	0,001
3,9200	0,010
3,9600	0,014
4,0000	0,013
4,0400	0,007
4,0800	-0,002
4,1200	-0,009
4,1600	-0,012
4,2000	-0,010
4,2400	-0,004
4,2800	0,004
4,3200	0,010
4,3600	0,012
4,4000	0,009
4,4400	0,003
4,4800	-0,004
4,5200	-0,009
4,5600	-0,010
4,6000	-0,007
4,6400	-0,001
4,6800	0,005
4,7200	0,009
4,7600	0,009
4,8000	0,006
4,8400	6,000E-4
4,8800	-0,005
4,9200	-0,008
4,9600	-0,007
5,0000	-0,004
5,0400	8,250E-4
5,0800	0,005
5,1200	0,007
5,1600	0,007
5,2000	0,003
5,2400	-9,750E-4
5,2800	-0,005
5,3200	-0,006
5,3600	-0,005
5,4000	-0,002
5,4400	0,002
5,4800	0,005
5,5200	0,006
5,5600	0,004
5,6000	0,001
5,6400	-0,002
5,6800	-0,004
5,7200	-0,004
5,7600	-0,003
5,8000	-2,250E-4
5,8400	0,002
5,8800	0,004
5,9200	0,004
5,9600	0,003
6,0000	1,875E-4
6,0400	-0,002
6,0800	-0,003
6,1200	-0,003
6,1600	-0,001
6,2000	7,125E-4
6,2400	0,002
6,2800	0,003
6,3200	0,002
6,3600	0,001
6,4000	-4,500E-4
6,4400	-0,002
6,4800	-0,002
6,5200	-0,001
6,5600	-1,875E-4
6,6000	0,001
6,6400	0,002
6,6800	0,002
6,7200	0,001
6,7600	3,000E-4
6,8000	-5,625E-4
6,8400	-0,001
6,8800	-9,000E-4
6,9200	-3,375E-4
6,9600	3,375E-4
7,0000	8,625E-4
7,0400	0,001
7,0800	8,250E-4
7,1200	4,125E-4
7,1600	0,000
7,2000	-2,625E-4
7,2400	-2,625E-4
7,2800	-1,125E-4
7,3200	7,500E-5
7,3600	2,625E-4
7,4000	3,375E-4
7,4400	3,375E-4
7,4800	3,375E-4
7,5200	3,375E-4
7,5600	3,375E-4
7,6000	3,375E-4
