#Linear Position, Run #1
#Time ( s )	Linear Position ( m )
4,0000	-0,022
4,0400	-0,009
4,0800	0,007
4,1200	0,019
4,1600	0,024
4,2000	0,019
4,2400	0,007
4,2800	-0,008
4,3200	-0,018
4,3600	-0,021
4,4000	-0,015
4,4400	-0,003
4,4800	0,009
4,5200	0,018
4,5600	0,019
4,6000	0,013
4,6400	0,002
4,6800	-0,010
4,7200	-0,017
4,7600	-0,017
4,8000	-0,010
4,8400	7,500E-4
4,8800	0,011
4,9200	0,016
4,9600	0,015
5,0000	0,008
5,0400	-0,002
5,0800	-0,011
5,1200	-0,015
5,1600	-0,012
5,2000	-0,005
5,2400	0,004
5,2800	0,011
5,3200	0,014
5,3600	0,011
5,4000	0,004
5,4400	-0,004
5,4800	-0,010
5,5200	-0,012
5,5600	-0,009
5,6000	-0,002
5,6400	0,006
5,6800	0,011
5,7200	0,011
5,7600	0,007
5,8000	8,625E-4
5,8400	-0,006
5,8800	-0,009
5,9200	-0,009
5,9600	-0,005
6,0000	6,375E-4
6,0400	0,006
6,0800	0,009
6,1200	0,008
6,1600	0,004
6,2000	-0,001
6,2400	-0,006
6,2800	-0,008
6,3200	-0,006
6,3600	-0,003
6,4000	0,002
6,4400	0,006
6,4800	0,007
6,5200	0,006
6,5600	0,002
6,6000	-0,002
6,6400	-0,005
6,6800	-0,006
6,7200	-0,004
6,7600	-6,375E-4
6,8000	0,003
6,8400	0,005
6,8800	0,005
6,9200	0,003
6,9600	3,375E-4
7,0000	-0,003
7,0400	-0,004
7,0800	-0,004
7,1200	-0,002
7,1600	6,375E-4
7,2000	0,003
7,2400	0,004
7,2800	0,004
7,3200	0,002
7,3600	-6,000E-4
7,4000	-0,003
7,4400	-0,003
7,4800	-0,003
7,5200	-7,875E-4
7,5600	0,001
7,6000	0,003
7,6400	0,003
7,6800	0,002
7,7200	6,375E-4
7,7600	-9,750E-4
7,8000	-0,002
7,8400	-0,002
7,8800	-0,001
7,9200	7,500E-5
7,9600	0,001
8,0000	0,002
8,0400	0,002
8,0800	0,001
8,1200	0,000
8,1600	-9,375E-4
8,2000	-0,001
8,2400	-0,001
8,2800	-3,000E-4
8,3200	4,875E-4
8,3600	0,001
8,4000	0,001
8,4400	8,625E-4
8,4800	3,750E-4
8,5200	-1,500E-4
8,5600	-4,500E-4
8,6000	-4,500E-4
8,6400	-2,250E-4
8,6800	1,125E-4
8,7200	3,750E-4
8,7600	4,500E-4
8,8000	4,125E-4
8,8400	2,625E-4
8,8800	1,500E-4
8,9200	7,500E-5
8,9600	7,500E-5
9,0000	7,500E-5
9,0400	1,125E-4
9,0800	1,125E-4
9,1200	1,125E-4
9,1600	1,125E-4
9,2000	1,125E-4
9,2400	1,125E-4
9,2800	1,125E-4
9,3200	1,125E-4
9,3600	1,125E-4
9,4000	1,125E-4
9,4400	1,125E-4
9,4800	1,125E-4
9,5200	1,125E-4
9,5600	1,125E-4
9,6000	1,125E-4
9,6400	1,125E-4
9,6800	1,125E-4
9,7200	1,125E-4
9,7600	1,125E-4
9,8000	1,125E-4
9,8400	1,125E-4
9,8800	1,125E-4
9,9200	1,125E-4
9,9600	1,125E-4
10,0000	1,125E-4
