#Position, Run #7
#Time ( s )	Position ( m )
7,0000	-0,094
7,0400	-0,101
7,0800	-0,106
7,1200	-0,109
7,1600	-0,109
7,2000	-0,108
7,2400	-0,104
7,2800	-0,098
7,3200	-0,090
7,3600	-0,080
7,4000	-0,069
7,4400	-0,057
7,4800	-0,043
7,5200	-0,029
7,5600	-0,014
7,6000	0,002
7,6400	0,017
7,6800	0,031
7,7200	0,045
7,7600	0,059
7,8000	0,070
7,8400	0,081
7,8800	0,090
7,9200	0,097
7,9600	0,102
8,0000	0,105
8,0400	0,106
8,0800	0,105
8,1200	0,101
8,1600	0,096
8,2000	0,089
8,2400	0,080
8,2800	0,069
8,3200	0,058
8,3600	0,045
8,4000	0,031
8,4400	0,016
8,4800	0,002
8,5200	-0,013
8,5600	-0,028
8,6000	-0,041
8,6400	-0,054
8,6800	-0,066
8,7200	-0,076
8,7600	-0,085
8,8000	-0,092
8,8400	-0,097
8,8800	-0,100
8,9200	-0,102
8,9600	-0,101
9,0000	-0,098
9,0400	-0,093
9,0800	-0,086
9,1200	-0,078
9,1600	-0,068
9,2000	-0,057
9,2400	-0,045
9,2800	-0,031
9,3200	-0,018
9,3600	-0,003
9,4000	0,011
9,4400	0,025
9,4800	0,038
9,5200	0,051
9,5600	0,062
9,6000	0,073
9,6400	0,081
9,6800	0,088
9,7200	0,093
9,7600	0,097
9,8000	0,098
9,8400	0,098
9,8800	0,095
9,9200	0,091
9,9600	0,085
10,0000	0,077
10,0400	0,068
10,0800	0,057
10,1200	0,045
10,1600	0,033
10,2000	0,020
10,2400	0,006
10,2800	-0,008
10,3200	-0,021
10,3600	-0,034
10,4000	-0,046
10,4400	-0,058
10,4800	-0,068
10,5200	-0,076
10,5600	-0,083
10,6000	-0,089
10,6400	-0,093
10,6800	-0,094
10,7200	-0,094
10,7600	-0,092
10,8000	-0,088
10,8400	-0,083
10,8800	-0,075
10,9200	-0,066
10,9600	-0,056
11,0000	-0,045
11,0400	-0,033
11,0800	-0,021
11,1200	-0,008
11,1600	0,005
11,2000	0,018
11,2400	0,031
11,2800	0,043
11,3200	0,054
11,3600	0,064
11,4000	0,073
11,4400	0,080
11,4800	0,085
11,5200	0,089
11,5600	0,091
11,6000	0,091
11,6400	0,089
11,6800	0,086
11,7200	0,081
11,7600	0,074
11,8000	0,066
11,8400	0,057
11,8800	0,046
11,9200	0,035
11,9600	0,023
12,0000	0,010
12,0400	-0,003
