5,82	6,09	6,46	6,87	7,45	7,55	7,59	7,26	7,18	6,73	6,29	5,99
5,85	6,15	6,62	7,2	7,84	8,43	8,42	7,98	7,35	6,77	6,43	6,08
5,79	6,06	6,65	7,5	8,45	9,77	9,75	8,73	7,6	6,76	6,19	5,91
5,32	5,82	6,34	7,33	8,66	10,4	10,8	8,9	7,22	6,64	6,05	5,43
4,92	5,22	5,83	6,86	8,28	10,01	9,44	7,86	6,45	5,93	5,33	5
4,15	4,45	5,04	5,16	6,73	7,29	7,04	6,12	5,34	5,03	4,5	4,34
3,48	3,66	3,6	4,33	4,97	5,01	4,8	4,52	4,29	3,82	3,72	3,61
2,89	2,58	2,28	2,48	2,98	2,65	2,89	2,95	2,98	2,73	2,85	3,05
1,99	1,71	1,67	1,49	1,82	2,35	1,95	2,25	1,99	1,93	1,91	2,23
1,49	0,8	0,69	0,71	0,64	0,54	0,57	0,58	0,61	0,64	0,83	1,37
1,22	0,93	0,74	0,96	0,73	0,72	0,78	0,79	0,77	0,83	0,97	1,44
1,37	1,07	0,88	0,93	0,94	0,98	0,79	0,75	0,76	0,84	1,02	1,28
