10,82	11,13	11,31	11,56	11,48	11,62	11,68	11,60	11,70	11,53	11,30	11,03
11,16	11,61	11,79	11,88	11,95	11,87	11,87	11,77	11,75	11,68	11,33	10,91
11,21	11,76	11,69	11,71	11,86	11,79	11,78	11,93	11,99	11,96	11,79	11,00
11,18	12,21	12,25	12,18	12,16	11,78	11,83	12,07	11,13	12,06	12,01	11,02
9,40	10,58	10,77	10,30	10,32	10,18	10,01	9,96	10,80	10,42	10,07	9,65
6,51	7,52	7,60	6,91	6,49	6,79	7,07	7,13	7,26	7,04	6,67	6,60
3,86	3,75	3,13	3,05	3,04	3,31	3,34	3,02	3,11	3,70	3,54	4,06
2,41	1,52	1,29	1,25	1,17	1,49	1,29	1,24	1,36	1,37	1,91	2,53
1,52	0,42	0,28	0,29	0,27	0,16	0,13	0,32	0,26	0,25	0,39	1,33
1,68	1,11	0,81	0,66	0,61	0,56	0,55	0,54	0,59	0,67	0,84	1,23
1,60	1,29	0,98	0,80	0,71	0,67	0,64	0,66	0,69	0,79	0,93	1,19
1,48	1,26	1,07	0,91	0,81	0,75	0,73	0,74	0,76	0,85	0,97	1,12
