#t [s]	p [Pa]
0	5,00E+04
6,01	2,00E+04
14,32	1,00E+04
22,5	5,00E+03
32,15	2,00E+03
39,45	1,00E+03
46,23	5,00E+02
53,36	2,00E+02
62,37	1,00E+02
69,12	5,00E+01
86,6	2,00E+01
139,57	1,00E+01
764,35	5,00E+00	
1035	1,13E-02
1146,24	7,33E-03
1190,22	6,67E-03
1318,71	5,33E-03
1581,62	4,00E-03
2118,29	3,33E-03
3001,71	2,00E-03
4151,99	1,60E-03

