0,69	1,34	1,88	2,33	2,73	2,99	2,99	2,77	2,45	1,95	1,41	0,86
1,07	1,83	2,47	3,09	3,77	4,02	4,06	3,79	3,43	2,68	2,1	1,35
1,47	2,29	3,19	4,13	4,8	5,31	5,24	5,08	4,38	3,86	2,64	1,86
1,9	2,98	3,92	5	6,37	6,95	7,37	6,55	5,56	4,33	3,13	2,25
2,07	3,22	4,53	5,76	7,86	9,29	9,87	8,21	6,55	5,02	3,68	2,54
2,24	3,38	4,6	6,21	8,43	10,6	10,59	8,86	6,86	5,28	3,87	2,66
2,18	3,33	4,8	5,72	8,2	9,75	9,8	8,32	6,6	5,19	3,76	2,63
2,09	3,18	4,22	5,17	7,05	7,57	8	7,05	5,68	4,71	3,41	2,38
1,68	2,72	3,42	4,27	5,38	5,96	6,05	5,84	4,78	3,88	2,9	2
1,46	2,27	2,81	3,66	4,12	4,44	4,41	4,3	3,57	3,07	2,22	1,48
1,03	1,62	2,39	2,74	3,06	3,48	4	3,13	2,79	2,15	1,69	0,97
0,85	1,21	1,67	1,89	2,36	2,4	2,4	2,3	1,91	1,49	0,99	0,77
