0	0	10.82
0	1	11.13
0	2	11.31
0	3	11.56
0	4	11.48
0	5	11.62
0	6	11.68
0	7	11.60
0	8	11.70
0	9	11.53
0	10	11.30
0	11	11.03
1	0	11.16
1	1	11.61
1	2	11.79
1	3	11.88
1	4	11.95
1	5	11.87
1	6	11.87
1	7	11.77
1	8	11.75
1	9	11.68
1	10	11.33
1	11	10.91
2	0	11.21
2	1	11.76
2	2	11.69
2	3	11.71
2	4	11.86
2	5	11.79
2	6	11.78
2	7	11.93
2	8	11.99
2	9	11.96
2	10	11.79
2	11	11.00
3	0	11.18
3	1	12.21
3	2	12.25
3	3	12.18
3	4	12.16
3	5	11.78
3	6	11.83
3	7	12.07
3	8	11.13
3	9	12.06
3	10	12.01
3	11	11.02
4	0	9.40
4	1	10.58
4	2	10.77
4	3	10.30
4	4	10.32
4	5	10.18
4	6	10.01
4	7	9.96
4	8	10.80
4	9	10.42
4	10	10.07
4	11	9.65
5	0	6.51
5	1	7.52
5	2	7.60
5	3	6.91
5	4	6.49
5	5	6.79
5	6	7.07
5	7	7.13
5	8	7.26
5	9	7.04
5	10	6.67
5	11	6.60
6	0	3.86
6	1	3.75
6	2	3.13
6	3	3.05
6	4	3.04
6	5	3.31
6	6	3.34
6	7	3.02
6	8	3.11
6	9	3.70
6	10	3.54
6	11	4.06
7	0	2.41
7	1	1.52
7	2	1.29
7	3	1.25
7	4	1.17
7	5	1.49
7	6	1.29
7	7	1.24
7	8	1.36
7	9	1.37
7	10	1.91
7	11	2.53
8	0	1.52
8	1	0.42
8	2	0.28
8	3	0.29
8	4	0.27
8	5	0.16
8	6	0.13
8	7	0.32
8	8	0.26
8	9	0.25
8	10	0.39
8	11	1.33
9	0	1.68
9	1	1.11
9	2	0.81
9	3	0.66
9	4	0.61
9	5	0.56
9	6	0.55
9	7	0.54
9	8	0.59
9	9	0.67
9	10	0.84
9	11	1.23
10	0	1.60
10	1	1.29
10	2	0.98
10	3	0.80
10	4	0.71
10	5	0.67
10	6	0.64
10	7	0.66
10	8	0.69
10	9	0.79
10	10	0.93
10	11	1.19
11	0	1.48
11	1	1.26
11	2	1.07
11	3	0.91
11	4	0.81
11	5	0.75
11	6	0.73
11	7	0.74
11	8	0.76
11	9	0.85
11	10	0.97
11	11	1.12
