5.12.2014	15:55:55
Pa
Time[s]	Hydrogen	Time[s]	Helium	Time[s]	Water	Time[s]	Oxygen	Time[s]	OH	Time[s]	Nitrogen/Carbonmon
176,826	8,431179E-07	177,337	-7,028591E-09	173,872	8,934189E-07	174,383	7,308683E-08	175,174	2,881616E-07	175,735	4,565198E-08
180,972	8,403514E-07	181,523	-6,818293E-09	178,088	8,910697E-07	178,629	7,389182E-08	179,380	2,873893E-07	179,931	4,558403E-08
185,178	8,395563E-07	185,930	-6,640858E-09	182,304	9,097932E-07	183,075	7,003449E-08	183,586	2,859062E-07	184,137	4,465218E-08
189,435	8,379122E-07	189,955	-6,004722E-09	186,490	8,974505E-07	187,261	7,146810E-08	187,812	2,863433E-07	188,353	4,625114E-08
193,601	8,354828E-07	194,151	-5,235679E-09	190,706	8,990511E-07	191,458	7,243289E-08	191,978	2,859335E-07	192,539	4,603891E-08
197,797	8,334757E-07	198,548	-6,196943E-09	194,933	8,856231E-07	195,463	7,284697E-08	196,204	2,870066E-07	196,755	4,594498E-08
202,033	8,308684E-07	202,784	-5,224794E-09	199,109	9,052295E-07	199,639	7,016460E-08	200,440	2,839192E-07	200,971	4,633818E-08
206,239	8,274337E-07	206,780	-5,958640E-09	203,325	8,923157E-07	204,076	7,212885E-08	204,596	2,837031E-07	205,157	4,615025E-08
210,154	8,245801E-07	210,905	-6,270423E-09	207,561	8,791738E-07	208,071	7,284658E-08	208,832	2,846097E-07	209,373	4,624261E-08
214,180	8,240625E-07	214,691	-6,486752E-09	211,466	8,801677E-07	211,997	7,504881E-08	212,808	2,837427E-07	213,339	4,677052E-08
218,346	8,224863E-07	218,897	-5,871029E-09	215,442	8,796937E-07	215,993	7,401828E-08	216,744	2,834175E-07	217,255	4,712832E-08
222,532	8,194049E-07	223,283	-6,200997E-09	219,698	8,788441E-07	220,229	7,310859E-08	220,740	2,833007E-07	221,501	4,729261E-08
226,838	8,165163E-07	227,349	-4,777632E-09	223,794	9,023371E-07	224,615	6,963991E-08	225,166	2,813880E-07	225,697	4,796700E-08
231,074	8,137715E-07	231,605	-6,185688E-09	228,150	8,721393E-07	228,671	7,305964E-08	229,422	2,824810E-07	229,933	4,751116E-08
235,190	8,114071E-07	235,941	-6,021327E-09	232,396	8,694735E-07	232,907	7,507583E-08	233,658	2,808614E-07	234,169	4,736305E-08
239,386	8,091116E-07	239,927	-5,206611E-09	236,452	8,658261E-07	237,263	7,493390E-08	237,794	2,794855E-07	238,325	4,736522E-08
243,643	8,070181E-07	244,173	-5,863321E-09	240,728	8,626394E-07	241,249	7,450119E-08	242,000	2,796891E-07	242,521	4,774686E-08
247,758	8,046979E-07	248,510	-6,367750E-09	244,954	8,620302E-07	245,465	7,469689E-08	246,216	2,793364E-07	246,727	4,792619E-08
251,934	8,022160E-07	252,686	-5,913149E-09	249,020	8,594972E-07	249,821	7,485665E-08	250,362	2,781099E-07	250,893	4,841706E-08
256,080	7,995050E-07	256,611	-6,172698E-09	253,196	8,562363E-07	253,957	7,456043E-08	254,478	2,778411E-07	255,229	4,779504E-08
260,296	7,983518E-07	261,048	-6,008680E-09	257,432	8,563924E-07	257,943	7,358075E-08	258,714	2,778486E-07	259,235	4,859547E-08
264,493	7,967973E-07	265,244	-6,259313E-09	261,578	8,536058E-07	262,139	7,437733E-08	262,920	2,771357E-07	263,451	4,821622E-08
268,649	7,948171E-07	269,189	-6,290310E-09	265,754	8,537097E-07	266,515	7,433999E-08	267,026	2,771083E-07	267,797	4,861192E-08
272,865	7,939596E-07	273,375	-6,256919E-09	270,000	8,544228E-07	270,531	7,278083E-08	271,282	2,780076E-07	271,793	4,900522E-08
276,860	7,917150E-07	277,621	-5,587166E-09	274,156	8,530569E-07	274,747	7,314395E-08	275,538	2,771953E-07	276,049	4,868854E-08
281,036	7,906419E-07	281,567	-5,543313E-09	278,132	8,548401E-07	278,663	7,438745E-08	279,414	2,780275E-07	280,175	5,009137E-08
285,182	7,903210E-07	285,693	-6,326863E-09	282,328	8,541373E-07	282,849	7,315357E-08	283,600	2,775655E-07	284,121	4,895473E-08
289,398	7,881754E-07	290,149	-4,950247E-09	286,464	8,545217E-07	287,045	7,443438E-08	287,826	2,772350E-07	288,347	4,991040E-08
-	-	-	-	290,660	8,536430E-07	-	-	-	-	-	-
