Linear Position, Run #1
Time ( s )	Linear Position ( m )
0,0000	4,125E-4
0,0400	4,875E-4
0,0800	6,000E-4
0,1200	6,750E-4
0,1600	7,500E-4
0,2000	7,500E-4
0,2400	6,750E-4
0,2800	6,000E-4
0,3200	4,875E-4
0,3600	4,125E-4
0,4000	3,750E-4
0,4400	4,125E-4
0,4800	4,875E-4
0,5200	6,000E-4
0,5600	6,750E-4
0,6000	7,500E-4
0,6400	7,500E-4
0,6800	6,750E-4
0,7200	6,000E-4
0,7600	4,875E-4
0,8000	4,125E-4
0,8400	3,750E-4
0,8800	3,750E-4
0,9200	4,500E-4
0,9600	5,625E-4
1,0000	6,750E-4
1,0400	7,125E-4
1,0800	7,500E-4
1,1200	7,125E-4
1,1600	6,000E-4
1,2000	4,875E-4
1,2400	4,125E-4
1,2800	3,750E-4
1,3200	3,750E-4
1,3600	4,500E-4
1,4000	5,625E-4
1,4400	6,750E-4
1,4800	7,500E-4
1,5200	7,500E-4
1,5600	7,125E-4
1,6000	6,000E-4
1,6400	4,875E-4
1,6800	4,125E-4
1,7200	3,750E-4
1,7600	3,750E-4
1,8000	4,500E-4
1,8400	5,250E-4
1,8800	6,375E-4
1,9200	7,125E-4
1,9600	7,500E-4
2,0000	7,125E-4
2,0400	6,375E-4
2,0800	5,250E-4
2,1200	4,125E-4
2,1600	3,750E-4
2,2000	3,750E-4
2,2400	4,500E-4
2,2800	5,250E-4
2,3200	6,375E-4
2,3600	7,500E-4
2,4000	7,500E-4
2,4400	7,125E-4
2,4800	6,375E-4
2,5200	5,250E-4
2,5600	4,125E-4
2,6000	3,750E-4
2,6400	3,750E-4
2,6800	4,500E-4
2,7200	5,250E-4
2,7600	6,375E-4
2,8000	7,125E-4
2,8400	7,500E-4
2,8800	7,500E-4
2,9200	6,375E-4
2,9600	5,250E-4
3,0000	4,500E-4
3,0400	3,750E-4
3,0800	3,750E-4
3,1200	4,125E-4
3,1600	5,250E-4
3,2000	6,000E-4
3,2400	7,125E-4
3,2800	7,500E-4
3,3200	7,500E-4
3,3600	6,750E-4
3,4000	5,625E-4
3,4400	4,500E-4
3,4800	3,750E-4
3,5200	3,750E-4
3,5600	4,125E-4
3,6000	4,875E-4
3,6400	6,000E-4
3,6800	7,125E-4
3,7200	7,500E-4
3,7600	7,500E-4
3,8000	6,750E-4
3,8400	5,625E-4
3,8800	4,500E-4
3,9200	3,750E-4
3,9600	3,750E-4
4,0000	4,125E-4
4,0400	4,875E-4
4,0800	6,000E-4
4,1200	6,750E-4
4,1600	7,500E-4
4,2000	7,500E-4
4,2400	6,750E-4
4,2800	6,000E-4
4,3200	4,875E-4
4,3600	4,125E-4
4,4000	3,750E-4
4,4400	4,125E-4
4,4800	4,875E-4
4,5200	5,625E-4
4,5600	6,750E-4
4,6000	7,500E-4
4,6400	7,500E-4
4,6800	6,750E-4
4,7200	6,000E-4
4,7600	4,875E-4
4,8000	4,125E-4
4,8400	3,750E-4
4,8800	3,750E-4
4,9200	4,500E-4
4,9600	5,625E-4
5,0000	6,750E-4
5,0400	7,125E-4
5,0800	7,500E-4
5,1200	7,125E-4
5,1600	6,000E-4
5,2000	4,875E-4
5,2400	4,125E-4
5,2800	3,750E-4
5,3200	4,125E-4
5,3600	4,500E-4
5,4000	5,625E-4
5,4400	6,375E-4
5,4800	7,125E-4
5,5200	7,500E-4
5,5600	7,125E-4
5,6000	6,000E-4
5,6400	5,250E-4
5,6800	4,125E-4
5,7200	3,750E-4
5,7600	3,750E-4
5,8000	4,500E-4
5,8400	5,250E-4
5,8800	6,375E-4
5,9200	7,125E-4
5,9600	7,500E-4
6,0000	7,125E-4
6,0400	6,375E-4
6,0800	5,250E-4
6,1200	4,500E-4
6,1600	3,750E-4
6,2000	3,750E-4
6,2400	4,500E-4
6,2800	5,250E-4
6,3200	6,375E-4
6,3600	7,125E-4
6,4000	7,500E-4
6,4400	7,125E-4
6,4800	6,375E-4
6,5200	5,250E-4
6,5600	4,500E-4
6,6000	3,750E-4
6,6400	3,750E-4
6,6800	4,125E-4
6,7200	5,250E-4
6,7600	6,000E-4
6,8000	7,125E-4
6,8400	7,500E-4
6,8800	7,500E-4
6,9200	6,750E-4
6,9600	5,625E-4
7,0000	4,500E-4
7,0400	3,750E-4
7,0800	3,750E-4
7,1200	4,125E-4
7,1600	4,875E-4
7,2000	6,000E-4
7,2400	7,125E-4
7,2800	7,500E-4
7,3200	7,500E-4
7,3600	6,750E-4
7,4000	5,625E-4
7,4400	4,500E-4
7,4800	3,750E-4
7,5200	3,750E-4
7,5600	4,125E-4
7,6000	4,875E-4
7,6400	6,000E-4
7,6800	6,750E-4
7,7200	7,500E-4
7,7600	7,500E-4
7,8000	6,750E-4
7,8400	5,625E-4
7,8800	4,875E-4
7,9200	4,125E-4
7,9600	3,750E-4
8,0000	4,125E-4
8,0400	4,875E-4
8,0800	6,000E-4
8,1200	6,750E-4
8,1600	7,500E-4
8,2000	7,500E-4
8,2400	6,750E-4
8,2800	6,000E-4
8,3200	4,875E-4
8,3600	4,125E-4
8,4000	3,750E-4
8,4400	4,125E-4
8,4800	4,500E-4
8,5200	5,625E-4
8,5600	6,750E-4
8,6000	7,500E-4
8,6400	7,500E-4
8,6800	7,125E-4
8,7200	6,000E-4
8,7600	4,875E-4
8,8000	4,125E-4
8,8400	3,750E-4
8,8800	3,750E-4
8,9200	4,500E-4
8,9600	5,625E-4
9,0000	6,375E-4
9,0400	7,125E-4
9,0800	7,500E-4
9,1200	7,125E-4
9,1600	6,000E-4
9,2000	4,875E-4
9,2400	4,125E-4
9,2800	3,750E-4
9,3200	3,750E-4
9,3600	4,500E-4
9,4000	5,625E-4
9,4400	6,375E-4
9,4800	7,125E-4
9,5200	7,500E-4
9,5600	7,125E-4
9,6000	6,375E-4
9,6400	5,250E-4
9,6800	4,500E-4
9,7200	3,750E-4
9,7600	3,750E-4
9,8000	4,500E-4
9,8400	5,250E-4
9,8800	6,375E-4
9,9200	7,125E-4
9,9600	7,500E-4
10,0000	7,125E-4
10,0400	6,375E-4
10,0800	5,250E-4
10,1200	4,500E-4
10,1600	3,750E-4
10,2000	3,750E-4
10,2400	4,500E-4
10,2800	5,250E-4
10,3200	6,375E-4
10,3600	7,125E-4
10,4000	7,500E-4
10,4400	7,125E-4
10,4800	6,375E-4
10,5200	5,250E-4
10,5600	4,500E-4
10,6000	4,125E-4
10,6400	3,750E-4
10,6800	4,125E-4
10,7200	5,250E-4
10,7600	6,000E-4
10,8000	7,125E-4
10,8400	7,500E-4
10,8800	7,500E-4
10,9200	6,750E-4
10,9600	5,625E-4
11,0000	4,500E-4
11,0400	3,750E-4
11,0800	3,750E-4
11,1200	4,125E-4
11,1600	4,875E-4
11,2000	6,000E-4
11,2400	6,750E-4
11,2800	7,500E-4
11,3200	7,500E-4
11,3600	6,750E-4
11,4000	5,625E-4
11,4400	4,500E-4
11,4800	4,125E-4
11,5200	3,750E-4
11,5600	4,125E-4
11,6000	4,875E-4
11,6400	6,000E-4
11,6800	6,750E-4
11,7200	7,500E-4
11,7600	7,500E-4
11,8000	6,750E-4
11,8400	6,000E-4
11,8800	4,875E-4
11,9200	4,125E-4
11,9600	3,750E-4
12,0000	4,125E-4
12,0400	4,875E-4
12,0800	6,000E-4
12,1200	6,750E-4
12,1600	7,500E-4
12,2000	7,500E-4
12,2400	6,750E-4
12,2800	6,000E-4
12,3200	4,875E-4
12,3600	4,125E-4
12,4000	3,750E-4
12,4400	4,125E-4
12,4800	4,500E-4
12,5200	5,625E-4
12,5600	6,750E-4
12,6000	7,500E-4
12,6400	7,500E-4
12,6800	7,125E-4
12,7200	6,000E-4
12,7600	4,875E-4
12,8000	4,125E-4
12,8400	3,750E-4
12,8800	3,750E-4
12,9200	4,500E-4
12,9600	5,625E-4
13,0000	6,375E-4
13,0400	7,125E-4
13,0800	7,500E-4
13,1200	7,125E-4
13,1600	6,000E-4
13,2000	4,875E-4
13,2400	4,125E-4
13,2800	3,750E-4
13,3200	3,750E-4
13,3600	4,500E-4
13,4000	5,625E-4
13,4400	6,375E-4
13,4800	7,125E-4
13,5200	7,500E-4
13,5600	7,125E-4
13,6000	6,375E-4
13,6400	5,250E-4
13,6800	4,500E-4
13,7200	3,750E-4
13,7600	3,750E-4
13,8000	4,500E-4
13,8400	5,250E-4
13,8800	6,375E-4
13,9200	7,125E-4
13,9600	7,500E-4
14,0000	7,125E-4
14,0400	6,375E-4
14,0800	5,250E-4
14,1200	4,500E-4
14,1600	3,750E-4
14,2000	3,750E-4
14,2400	4,125E-4
14,2800	5,250E-4
14,3200	6,375E-4
14,3600	7,125E-4
14,4000	7,500E-4
14,4400	7,500E-4
14,4800	6,375E-4
14,5200	5,625E-4
14,5600	4,500E-4
14,6000	3,750E-4
14,6400	3,750E-4
14,6800	4,125E-4
14,7200	4,875E-4
14,7600	6,000E-4
14,8000	7,125E-4
14,8400	7,500E-4
14,8800	7,500E-4
14,9200	6,750E-4
14,9600	5,625E-4
