Position, Run #13
Time ( s )	Position ( m )
0,0000	0,000
0,0400	0,000
0,0800	0,000
0,1200	0,000
0,1600	0,000
0,2000	0,000
0,2400	0,000
0,2800	0,000
0,3200	0,000
0,3600	0,000
0,4000	0,000
0,4400	0,000
0,4800	0,000
0,5200	0,000
0,5600	0,000
0,6000	0,000
0,6400	0,000
0,6800	0,000
0,7200	0,000
0,7600	0,000
0,8000	0,000
0,8400	0,000
0,8800	0,000
0,9200	0,000
0,9600	0,000
1,0000	0,000
1,0400	0,000
1,0800	0,000
1,1200	0,000
1,1600	-8,333E-4
1,2000	-0,003
1,2400	-0,006
1,2800	-0,010
1,3200	-0,015
1,3600	-0,021
1,4000	-0,028
1,4400	-0,034
1,4800	-0,040
1,5200	-0,046
1,5600	-0,051
1,6000	-0,056
1,6400	-0,061
1,6800	-0,066
1,7200	-0,070
1,7600	-0,073
1,8000	-0,075
1,8400	-0,078
1,8800	-0,079
1,9200	-0,080
1,9600	-0,081
2,0000	-0,083
2,0400	-0,084
2,0800	-0,087
2,1200	-0,089
2,1600	-0,092
2,2000	-0,094
2,2400	-0,096
2,2800	-0,098
2,3200	-0,100
2,3600	-0,102
2,4000	-0,103
2,4400	-0,105
2,4800	-0,107
2,5200	-0,108
2,5600	-0,110
2,6000	-0,112
2,6400	-0,114
2,6800	-0,115
2,7200	-0,116
2,7600	-0,117
2,8000	-0,117
2,8400	-0,118
2,8800	-0,119
2,9200	-0,119
2,9600	-0,119
3,0000	-0,120
3,0400	-0,120
3,0800	-0,120
3,1200	-0,119
3,1600	-0,119
3,2000	-0,118
3,2400	-0,118
3,2800	-0,118
3,3200	-0,117
3,3600	-0,117
3,4000	-0,117
3,4400	-0,117
3,4800	-0,117
3,5200	-0,116
3,5600	-0,116
3,6000	-0,115
3,6400	-0,115
3,6800	-0,115
3,7200	-0,114
3,7600	-0,114
3,8000	-0,114
3,8400	-0,114
3,8800	-0,115
3,9200	-0,115
3,9600	-0,116
4,0000	-0,116
4,0400	-0,116
4,0800	-0,116
4,1200	-0,116
4,1600	-0,116
4,2000	-0,116
4,2400	-0,116
4,2800	-0,115
4,3200	-0,112
4,3600	-0,107
4,4000	-0,100
4,4400	-0,091
4,4800	-0,080
4,5200	-0,068
4,5600	-0,055
4,6000	-0,041
4,6400	-0,026
4,6800	-0,011
4,7200	0,004
4,7600	0,019
4,8000	0,032
4,8400	0,046
4,8800	0,058
4,9200	0,069
4,9600	0,078
5,0000	0,086
5,0400	0,092
5,0800	0,096
5,1200	0,098
5,1600	0,098
5,2000	0,096
5,2400	0,092
5,2800	0,086
5,3200	0,079
5,3600	0,070
5,4000	0,060
5,4400	0,049
5,4800	0,037
5,5200	0,025
5,5600	0,012
5,6000	-8,333E-4
5,6400	-0,014
5,6800	-0,026
5,7200	-0,038
5,7600	-0,048
5,8000	-0,058
5,8400	-0,066
5,8800	-0,073
5,9200	-0,078
5,9600	-0,082
6,0000	-0,084
6,0400	-0,084
6,0800	-0,083
6,1200	-0,080
6,1600	-0,075
6,2000	-0,069
6,2400	-0,062
6,2800	-0,053
6,3200	-0,044
6,3600	-0,034
6,4000	-0,023
6,4400	-0,013
6,4800	-0,002
6,5200	0,009
6,5600	0,020
6,6000	0,030
6,6400	0,039
6,6800	0,047
6,7200	0,054
6,7600	0,060
6,8000	0,065
6,8400	0,068
6,8800	0,070
6,9200	0,071
6,9600	0,070
7,0000	0,068
7,0400	0,064
7,0800	0,060
7,1200	0,053
7,1600	0,047
7,2000	0,039
7,2400	0,030
7,2800	0,022
7,3200	0,013
7,3600	0,003
7,4000	-0,006
7,4400	-0,015
7,4800	-0,024
7,5200	-0,032
7,5600	-0,039
7,6000	-0,045
7,6400	-0,050
7,6800	-0,055
7,7200	-0,058
7,7600	-0,060
7,8000	-0,060
7,8400	-0,060
7,8800	-0,058
7,9200	-0,055
7,9600	-0,051
8,0000	-0,046
8,0400	-0,040
8,0800	-0,034
8,1200	-0,027
8,1600	-0,020
8,2000	-0,012
8,2400	-0,004
8,2800	0,004
8,3200	0,011
8,3600	0,018
8,4000	0,025
8,4400	0,031
8,4800	0,037
8,5200	0,041
8,5600	0,045
8,6000	0,048
8,6400	0,050
8,6800	0,050
8,7200	0,050
8,7600	0,049
8,8000	0,046
8,8400	0,043
8,8800	0,040
8,9200	0,035
8,9600	0,030
9,0000	0,024
9,0400	0,018
9,0800	0,011
9,1200	0,005
9,1600	-0,002
9,2000	-0,008
9,2400	-0,015
9,2800	-0,020
9,3200	-0,026
9,3600	-0,030
9,4000	-0,034
9,4400	-0,038
9,4800	-0,040
9,5200	-0,042
9,5600	-0,042
9,6000	-0,042
9,6400	-0,041
9,6800	-0,039
9,7200	-0,037
9,7600	-0,034
9,8000	-0,030
9,8400	-0,025
9,8800	-0,020
9,9200	-0,015
9,9600	-0,010
10,0000	-0,005
10,0400	4,167E-4
10,0800	0,006
