Position, Run #27
Time ( s )	Position ( m )
0,0000	0,000
0,0400	0,000
0,0800	0,000
0,1200	0,000
0,1600	0,000
0,2000	0,000
0,2400	0,000
0,2800	0,000
0,3200	0,000
0,3600	0,000
0,4000	0,000
0,4400	0,000
0,4800	0,000
0,5200	0,000
0,5600	0,000
0,6000	0,000
0,6400	0,000
0,6800	0,000
0,7200	0,000
0,7600	0,000
0,8000	0,000
0,8400	0,000
0,8800	0,000
0,9200	0,000
0,9600	0,000
1,0000	0,000
1,0400	0,000
1,0800	0,000
1,1200	0,000
1,1600	0,000
1,2000	0,000
1,2400	0,000
1,2800	0,000
1,3200	0,000
1,3600	0,000
1,4000	0,000
1,4400	0,000
1,4800	0,001
1,5200	8,333E-4
1,5600	0,003
1,6000	0,003
1,6400	0,004
1,6800	0,004
1,7200	0,005
1,7600	0,005
1,8000	0,005
1,8400	0,001
1,8800	-0,004
1,9200	-0,010
1,9600	-0,017
2,0000	-0,023
2,0400	-0,030
2,0800	-0,036
2,1200	-0,042
2,1600	-0,047
2,2000	-0,052
2,2400	-0,058
2,2800	-0,063
2,3200	-0,068
2,3600	-0,072
2,4000	-0,076
2,4400	-0,079
2,4800	-0,083
2,5200	-0,085
2,5600	-0,088
2,6000	-0,090
2,6400	-0,093
2,6800	-0,095
2,7200	-0,098
2,7600	-0,100
2,8000	-0,102
2,8400	-0,103
2,8800	-0,105
2,9200	-0,105
2,9600	-0,107
3,0000	-0,108
3,0400	-0,109
3,0800	-0,110
3,1200	-0,111
3,1600	-0,112
3,2000	-0,113
3,2400	-0,113
3,2800	-0,114
3,3200	-0,114
3,3600	-0,115
3,4000	-0,115
3,4400	-0,115
3,4800	-0,115
3,5200	-0,116
3,5600	-0,117
3,6000	-0,117
3,6400	-0,118
3,6800	-0,118
3,7200	-0,118
3,7600	-0,117
3,8000	-0,117
3,8400	-0,117
3,8800	-0,117
3,9200	-0,117
3,9600	-0,117
4,0000	-0,116
4,0400	-0,116
4,0800	-0,116
4,1200	-0,116
4,1600	-0,116
4,2000	-0,116
4,2400	-0,116
4,2800	-0,116
4,3200	-0,116
4,3600	-0,114
4,4000	-0,111
4,4400	-0,107
4,4800	-0,102
4,5200	-0,096
4,5600	-0,090
4,6000	-0,083
4,6400	-0,076
4,6800	-0,070
4,7200	-0,063
4,7600	-0,057
4,8000	-0,051
4,8400	-0,045
4,8800	-0,040
4,9200	-0,035
4,9600	-0,031
5,0000	-0,027
5,0400	-0,024
5,0800	-0,020
5,1200	-0,018
5,1600	-0,015
5,2000	-0,013
5,2400	-0,012
5,2800	-0,010
5,3200	-0,009
5,3600	-0,008
5,4000	-0,006
5,4400	-0,005
5,4800	-0,005
5,5200	-0,004
5,5600	-0,003
5,6000	-0,003
5,6400	-0,002
5,6800	-0,002
5,7200	-0,002
5,7600	-0,001
5,8000	-8,333E-4
5,8400	-8,333E-4
5,8800	-4,167E-4
5,9200	-4,167E-4
5,9600	-4,167E-4
6,0000	-4,167E-4
6,0400	0,000
6,0800	0,000
6,1200	0,000
6,1600	0,000
6,2000	0,000
6,2400	0,000
6,2800	0,000
6,3200	4,167E-4
6,3600	4,167E-4
6,4000	4,167E-4
6,4400	4,167E-4
6,4800	4,167E-4
6,5200	4,167E-4
6,5600	4,167E-4
6,6000	4,167E-4
6,6400	4,167E-4
6,6800	4,167E-4
6,7200	4,167E-4
6,7600	4,167E-4
6,8000	4,167E-4
6,8400	4,167E-4
6,8800	4,167E-4
6,9200	4,167E-4
6,9600	4,167E-4
7,0000	4,167E-4
7,0400	4,167E-4
7,0800	4,167E-4
7,1200	4,167E-4
7,1600	4,167E-4
7,2000	4,167E-4
7,2400	4,167E-4
7,2800	4,167E-4
7,3200	4,167E-4
7,3600	8,333E-4
7,4000	8,333E-4
7,4400	8,333E-4
7,4800	8,333E-4
7,5200	8,333E-4
7,5600	8,333E-4
7,6000	8,333E-4
7,6400	8,333E-4
7,6800	8,333E-4
7,7200	8,333E-4
7,7600	8,333E-4
7,8000	8,333E-4
7,8400	8,333E-4
7,8800	8,333E-4
7,9200	8,333E-4
7,9600	8,333E-4
8,0000	8,333E-4
8,0400	8,333E-4
8,0800	8,333E-4
8,1200	8,333E-4
8,1600	8,333E-4
8,2000	8,333E-4
8,2400	8,333E-4
8,2800	8,333E-4
8,3200	8,333E-4
8,3600	8,333E-4
8,4000	8,333E-4
8,4400	8,333E-4
8,4800	8,333E-4
8,5200	8,333E-4
8,5600	8,333E-4
8,6000	8,333E-4
