Position, Run #29
Time ( s )	Position ( m )
0,0000	0,000
0,0400	0,000
0,0800	0,000
0,1200	0,000
0,1600	0,000
0,2000	0,000
0,2400	0,000
0,2800	0,000
0,3200	0,000
0,3600	0,000
0,4000	0,000
0,4400	0,000
0,4800	0,000
0,5200	0,000
0,5600	0,000
0,6000	0,000
0,6400	0,000
0,6800	0,000
0,7200	0,000
0,7600	0,000
0,8000	0,000
0,8400	0,000
0,8800	0,000
0,9200	0,000
0,9600	0,000
1,0000	0,000
1,0400	0,000
1,0800	0,000
1,1200	0,000
1,1600	0,000
1,2000	0,000
1,2400	0,000
1,2800	0,000
1,3200	0,000
1,3600	0,000
1,4000	0,000
1,4400	0,000
1,4800	0,000
1,5200	0,000
1,5600	0,000
1,6000	0,000
1,6400	0,000
1,6800	0,000
1,7200	0,000
1,7600	0,000
1,8000	0,000
1,8400	0,000
1,8800	0,000
1,9200	0,000
1,9600	4,167E-4
2,0000	0,000
2,0400	-8,333E-4
2,0800	-0,003
2,1200	-0,007
2,1600	-0,012
2,2000	-0,018
2,2400	-0,025
2,2800	-0,030
2,3200	-0,037
2,3600	-0,043
2,4000	-0,050
2,4400	-0,056
2,4800	-0,061
2,5200	-0,066
2,5600	-0,070
2,6000	-0,075
2,6400	-0,079
2,6800	-0,083
2,7200	-0,086
2,7600	-0,090
2,8000	-0,093
2,8400	-0,097
2,8800	-0,100
2,9200	-0,103
2,9600	-0,105
3,0000	-0,108
3,0400	-0,110
3,0800	-0,113
3,1200	-0,114
3,1600	-0,115
3,2000	-0,116
3,2400	-0,117
3,2800	-0,117
3,3200	-0,117
3,3600	-0,117
3,4000	-0,117
3,4400	-0,117
3,4800	-0,117
3,5200	-0,117
3,5600	-0,117
3,6000	-0,117
3,6400	-0,117
3,6800	-0,118
3,7200	-0,117
3,7600	-0,117
3,8000	-0,115
3,8400	-0,113
3,8800	-0,108
3,9200	-0,103
3,9600	-0,098
4,0000	-0,092
4,0400	-0,085
4,0800	-0,079
4,1200	-0,073
4,1600	-0,068
4,2000	-0,062
4,2400	-0,056
4,2800	-0,051
4,3200	-0,046
4,3600	-0,042
4,4000	-0,038
4,4400	-0,034
4,4800	-0,031
4,5200	-0,028
4,5600	-0,025
4,6000	-0,023
4,6400	-0,020
4,6800	-0,019
4,7200	-0,017
4,7600	-0,015
4,8000	-0,015
4,8400	-0,013
4,8800	-0,013
4,9200	-0,012
4,9600	-0,011
5,0000	-0,010
5,0400	-0,009
5,0800	-0,008
5,1200	-0,008
5,1600	-0,008
5,2000	-0,007
5,2400	-0,006
5,2800	-0,006
5,3200	-0,005
5,3600	-0,005
5,4000	-0,005
5,4400	-0,004
5,4800	-0,004
5,5200	-0,004
5,5600	-0,003
5,6000	-0,003
5,6400	-0,003
5,6800	-0,003
5,7200	-0,003
5,7600	-0,003
5,8000	-0,003
5,8400	-0,002
5,8800	-0,002
5,9200	-0,002
5,9600	-0,002
6,0000	-0,002
6,0400	-0,002
6,0800	-0,002
6,1200	-0,002
6,1600	-0,001
6,2000	-0,001
6,2400	-0,001
6,2800	-0,001
6,3200	-0,001
6,3600	-0,001
6,4000	-0,001
6,4400	-0,001
6,4800	-0,001
6,5200	-0,001
6,5600	-0,001
6,6000	-0,001
6,6400	-0,001
6,6800	-0,001
6,7200	-0,001
6,7600	-0,001
6,8000	-0,001
6,8400	-8,333E-4
6,8800	-8,333E-4
6,9200	-8,333E-4
6,9600	-8,333E-4
7,0000	-8,333E-4
7,0400	-8,333E-4
7,0800	-8,333E-4
7,1200	-8,333E-4
7,1600	-8,333E-4
7,2000	-8,333E-4
7,2400	-8,333E-4
7,2800	-8,333E-4
7,3200	-8,333E-4
7,3600	-8,333E-4
7,4000	-8,333E-4
7,4400	-8,333E-4
7,4800	-8,333E-4
7,5200	-8,333E-4
7,5600	-8,333E-4
7,6000	-8,333E-4
7,6400	-8,333E-4
7,6800	-8,333E-4
7,7200	-8,333E-4
7,7600	-8,333E-4
7,8000	-8,333E-4
7,8400	-8,333E-4
7,8800	-8,333E-4
7,9200	-8,333E-4
7,9600	-8,333E-4
8,0000	-8,333E-4
8,0400	-8,333E-4
8,0800	-8,333E-4
8,1200	-8,333E-4
8,1600	-4,167E-4
8,2000	-4,167E-4
8,2400	-4,167E-4
8,2800	-4,167E-4
8,3200	-4,167E-4
8,3600	-4,167E-4
8,4000	-4,167E-4
8,4400	-4,167E-4
8,4800	-4,167E-4
8,5200	-4,167E-4
8,5600	-4,167E-4
8,6000	-4,167E-4
8,6400	-4,167E-4
8,6800	-4,167E-4
8,7200	-4,167E-4
8,7600	-4,167E-4
8,8000	-4,167E-4
8,8400	-4,167E-4
8,8800	-4,167E-4
8,9200	-4,167E-4
8,9600	-4,167E-4
9,0000	-4,167E-4
