Position, Run #20
Time ( s )	Position ( m )
13,2000	-0,003
13,2400	-0,004
13,2800	-0,004
13,3200	-0,005
13,3600	-0,005
13,4000	-0,005
13,4400	-0,005
13,4800	-0,005
13,5200	-0,005
13,5600	-0,004
13,6000	-0,004
13,6400	-0,004
13,6800	-0,003
13,7200	-0,003
13,7600	-0,002
13,8000	-0,002
13,8400	-8,333E-4
13,8800	-4,167E-4
13,9200	0,000
13,9600	8,333E-4
14,0000	0,001
14,0400	0,002
14,0800	0,002
14,1200	0,002
14,1600	0,003
14,2000	0,003
14,2400	0,003
14,2800	0,003
14,3200	0,003
14,3600	0,003
14,4000	0,003
14,4400	0,003
14,4800	0,002
14,5200	0,002
14,5600	0,002
14,6000	0,001
14,6400	0,001
14,6800	8,333E-4
14,7200	4,167E-4
14,7600	4,167E-4
14,8000	0,000
14,8400	-4,167E-4
14,8800	-4,167E-4
14,9200	-4,167E-4
14,9600	-8,333E-4
15,0000	-8,333E-4
15,0400	-8,333E-4
15,0800	-8,333E-4
15,1200	-8,333E-4
15,1600	-8,333E-4
15,2000	-8,333E-4
15,2400	-8,333E-4
15,2800	-8,333E-4
15,3200	-8,333E-4
15,3600	-4,167E-4
15,4000	-4,167E-4
15,4400	-4,167E-4
15,4800	-4,167E-4
15,5200	0,000
15,5600	0,000
15,6000	0,000
15,6400	0,000
15,6800	0,000
15,7200	4,167E-4
15,7600	4,167E-4
15,8000	4,167E-4
15,8400	4,167E-4
15,8800	4,167E-4
15,9200	4,167E-4
15,9600	4,167E-4
16,0000	4,167E-4
16,0400	4,167E-4
16,0800	4,167E-4
16,1200	0,000
16,1600	0,000
16,2000	0,000
16,2400	0,000
16,2800	0,000
16,3200	0,000
16,3600	0,000
16,4000	0,000
16,4400	0,000
16,4800	0,000
16,5200	0,000
16,5600	0,000
16,6000	0,000
16,6400	0,000
16,6800	0,000
16,7200	0,000
16,7600	0,000
16,8000	0,000
16,8400	0,000
16,8800	0,000
16,9200	0,000
16,9600	0,000
17,0000	0,000
17,0400	0,000
17,0800	0,000
17,1200	0,000
17,1600	0,000
17,2000	0,000
17,2400	0,000
17,2800	0,000
17,3200	0,000
17,3600	0,000
17,4000	0,000
17,4400	0,000
17,4800	0,000
17,5200	0,000
17,5600	0,000
17,6000	0,000
17,6400	0,000
17,6800	0,000
17,7200	0,000
17,7600	0,000
17,8000	0,000
17,8400	0,000
17,8800	0,000
17,9200	0,000
17,9600	0,000
18,0000	0,000
18,0400	0,000
18,0800	0,000
18,1200	0,000
18,1600	0,000
18,2000	0,000
18,2400	0,000
18,2800	0,000
18,3200	0,000
18,3600	0,000
18,4000	0,000
18,4400	0,000
18,4800	0,000
18,5200	0,000
18,5600	0,000
18,6000	0,000
18,6400	0,000
18,6800	0,000
18,7200	0,000
18,7600	0,000
