#Position, Run #24
#Time ( s )	Position ( m )
5,0000	-0,044
5,0400	-0,037
5,0800	-0,030
5,1200	-0,024
5,1600	-0,019
5,2000	-0,014
5,2400	-0,010
5,2800	-0,006
5,3200	-0,003
5,3600	0,000
5,4000	0,002
5,4400	0,004
5,4800	0,005
5,5200	0,006
5,5600	0,007
5,6000	0,007
5,6400	0,007
5,6800	0,007
5,7200	0,007
5,7600	0,007
5,8000	0,007
5,8400	0,006
5,8800	0,006
5,9200	0,005
5,9600	0,005
6,0000	0,005
6,0400	0,004
6,0800	0,004
6,1200	0,003
6,1600	0,003
6,2000	0,003
6,2400	0,002
6,2800	0,002
6,3200	0,002
6,3600	0,002
6,4000	0,001
6,4400	0,001
6,4800	8,333E-4
6,5200	8,333E-4
6,5600	8,333E-4
6,6000	8,333E-4
6,6400	8,333E-4
6,6800	4,167E-4
6,7200	4,167E-4
6,7600	4,167E-4
6,8000	4,167E-4
6,8400	4,167E-4
6,8800	4,167E-4
6,9200	4,167E-4
6,9600	4,167E-4
7,0000	4,167E-4
7,0400	4,167E-4
7,0800	4,167E-4
7,1200	4,167E-4
7,1600	4,167E-4
7,2000	4,167E-4
7,2400	4,167E-4
7,2800	4,167E-4
7,3200	4,167E-4
7,3600	4,167E-4
7,4000	4,167E-4
7,4400	4,167E-4
7,4800	4,167E-4
7,5200	4,167E-4
7,5600	4,167E-4
7,6000	4,167E-4
7,6400	4,167E-4
7,6800	4,167E-4
7,7200	4,167E-4
7,7600	4,167E-4
7,8000	4,167E-4
7,8400	4,167E-4
7,8800	4,167E-4
7,9200	4,167E-4
7,9600	4,167E-4
8,0000	4,167E-4
8,0400	4,167E-4
8,0800	4,167E-4
8,1200	4,167E-4
8,1600	4,167E-4
8,2000	4,167E-4
8,2400	4,167E-4
8,2800	4,167E-4
8,3200	4,167E-4
