#Position, Run #17
#Time ( s )	Position ( m )
0,0000	0,000
0,0400	0,000
0,0800	0,000
0,1200	0,000
0,1600	0,000
0,2000	0,000
0,2400	0,000
0,2800	0,000
0,3200	0,000
0,3600	0,000
0,4000	0,000
0,4400	0,000
0,4800	0,000
0,5200	0,000
0,5600	0,000
0,6000	0,000
0,6400	0,000
0,6800	0,000
0,7200	0,000
0,7600	0,000
0,8000	0,000
0,8400	0,000
0,8800	0,000
0,9200	0,000
0,9600	0,000
1,0000	0,000
1,0400	0,000
1,0800	0,000
1,1200	4,167E-4
1,1600	0,000
1,2000	-0,002
1,2400	-0,004
1,2800	-0,008
1,3200	-0,013
1,3600	-0,018
1,4000	-0,024
1,4400	-0,029
1,4800	-0,035
1,5200	-0,041
1,5600	-0,048
1,6000	-0,055
1,6400	-0,061
1,6800	-0,068
1,7200	-0,074
1,7600	-0,080
1,8000	-0,086
1,8400	-0,092
1,8800	-0,097
1,9200	-0,102
1,9600	-0,106
2,0000	-0,110
2,0400	-0,112
2,0800	-0,113
2,1200	-0,114
2,1600	-0,114
2,2000	-0,114
2,2400	-0,114
2,2800	-0,115
2,3200	-0,115
2,3600	-0,115
2,4000	-0,116
2,4400	-0,116
2,4800	-0,116
2,5200	-0,116
2,5600	-0,117
2,6000	-0,117
2,6400	-0,117
2,6800	-0,118
2,7200	-0,119
2,7600	-0,119
2,8000	-0,120
2,8400	-0,120
2,8800	-0,120
2,9200	-0,120
2,9600	-0,120
3,0000	-0,119
3,0400	-0,119
3,0800	-0,119
3,1200	-0,118
3,1600	-0,118
3,2000	-0,117
3,2400	-0,117
3,2800	-0,117
3,3200	-0,117
3,3600	-0,116
3,4000	-0,116
3,4400	-0,116
3,4800	-0,115
3,5200	-0,116
3,5600	-0,116
3,6000	-0,116
3,6400	-0,117
3,6800	-0,117
3,7200	-0,117
3,7600	-0,117
3,8000	-0,116
3,8400	-0,113
3,8800	-0,109
3,9200	-0,103
3,9600	-0,095
4,0000	-0,086
4,0400	-0,076
4,0800	-0,066
4,1200	-0,055
4,1600	-0,044
4,2000	-0,033
4,2400	-0,023
4,2800	-0,013
4,3200	-0,004
4,3600	0,004
4,4000	0,012
4,4400	0,018
4,4800	0,024
4,5200	0,028
4,5600	0,032
4,6000	0,035
4,6400	0,036
4,6800	0,037
4,7200	0,037
4,7600	0,037
4,8000	0,035
4,8400	0,033
4,8800	0,031
4,9200	0,028
4,9600	0,025
5,0000	0,022
5,0400	0,019
5,0800	0,015
5,1200	0,012
5,1600	0,008
5,2000	0,005
5,2400	0,002
5,2800	-4,167E-4
5,3200	-0,003
5,3600	-0,005
5,4000	-0,007
5,4400	-0,008
5,4800	-0,010
5,5200	-0,010
5,5600	-0,011
5,6000	-0,011
5,6400	-0,011
5,6800	-0,011
5,7200	-0,011
5,7600	-0,010
5,8000	-0,010
5,8400	-0,009
5,8800	-0,008
5,9200	-0,007
5,9600	-0,006
6,0000	-0,005
6,0400	-0,005
6,0800	-0,003
6,1200	-0,003
6,1600	-0,002
6,2000	-8,333E-4
6,2400	-4,167E-4
6,2800	4,167E-4
6,3200	8,333E-4
6,3600	0,001
6,4000	0,002
6,4400	0,002
6,4800	0,002
6,5200	0,002
6,5600	0,003
6,6000	0,003
6,6400	0,002
6,6800	0,002
6,7200	0,002
6,7600	0,002
6,8000	0,002
6,8400	0,002
6,8800	0,001
6,9200	0,001
6,9600	8,333E-4
7,0000	8,333E-4
7,0400	4,167E-4
7,0800	4,167E-4
7,1200	4,167E-4
7,1600	0,000
7,2000	0,000
7,2400	0,000
7,2800	0,000
7,3200	0,000
7,3600	-4,167E-4
7,4000	-4,167E-4
7,4400	-4,167E-4
7,4800	-4,167E-4
7,5200	-4,167E-4
7,5600	-4,167E-4
7,6000	-4,167E-4
7,6400	-4,167E-4
7,6800	0,000
7,7200	0,000
7,7600	0,000
7,8000	0,000
7,8400	0,000
7,8800	0,000
7,9200	0,000
7,9600	0,000
8,0000	0,000
8,0400	0,000
8,0800	0,000
8,1200	0,000
8,1600	0,000
8,2000	0,000
8,2400	0,000
8,2800	0,000
8,3200	0,000
8,3600	0,000
8,4000	0,000
8,4400	0,000
8,4800	0,000
8,5200	0,000
8,5600	0,000
8,6000	0,000
8,6400	0,000
8,6800	0,000
8,7200	0,000
8,7600	0,000
8,8000	0,000
8,8400	0,000
8,8800	0,000
8,9200	0,000
8,9600	0,000
9,0000	0,000
9,0400	0,000
9,0800	0,000
9,1200	0,000
9,1600	0,000
9,2000	0,000
9,2400	0,000
9,2800	0,000
9,3200	0,000
9,3600	0,000
9,4000	0,000
9,4400	0,000
9,4800	0,000
9,5200	0,000
9,5600	0,000
9,6000	0,000
9,6400	0,000
9,6800	0,000
9,7200	0,000
9,7600	0,000
9,8000	0,000
9,8400	0,000
9,8800	0,000
9,9200	0,000
9,9600	0,000
10,0000	0,000
10,0400	0,000
