#Position, Run #16
#Time ( s )	Position ( m )
4,8800	-0,022
4,9200	-0,011
4,9600	0,000
5,0000	0,010
5,0400	0,019
5,0800	0,027
5,1200	0,034
5,1600	0,039
5,2000	0,044
5,2400	0,047
5,2800	0,050
5,3200	0,051
5,3600	0,051
5,4000	0,050
5,4400	0,048
5,4800	0,046
5,5200	0,043
5,5600	0,038
5,6000	0,034
5,6400	0,029
5,6800	0,024
5,7200	0,019
5,7600	0,014
5,8000	0,009
5,8400	0,004
5,8800	-8,333E-4
5,9200	-0,005
5,9600	-0,009
6,0000	-0,013
6,0400	-0,015
6,0800	-0,018
6,1200	-0,020
6,1600	-0,021
6,2000	-0,022
6,2400	-0,022
6,2800	-0,022
6,3200	-0,021
6,3600	-0,020
6,4000	-0,019
6,4400	-0,018
6,4800	-0,016
6,5200	-0,014
6,5600	-0,012
6,6000	-0,010
6,6400	-0,008
6,6800	-0,006
6,7200	-0,004
6,7600	-0,002
6,8000	0,000
6,8400	0,002
6,8800	0,003
6,9200	0,005
6,9600	0,005
7,0000	0,006
7,0400	0,007
7,0800	0,008
7,1200	0,008
7,1600	0,008
7,2000	0,008
7,2400	0,008
7,2800	0,008
7,3200	0,007
7,3600	0,006
7,4000	0,006
7,4400	0,005
7,4800	0,004
7,5200	0,003
7,5600	0,003
7,6000	0,002
7,6400	0,001
7,6800	8,333E-4
7,7200	0,000
7,7600	-4,167E-4
7,8000	-0,001
7,8400	-0,002
7,8800	-0,002
7,9200	-0,002
7,9600	-0,003
8,0000	-0,003
8,0400	-0,003
8,0800	-0,003
8,1200	-0,003
8,1600	-0,003
8,2000	-0,003
8,2400	-0,002
8,2800	-0,002
8,3200	-0,002
8,3600	-0,002
8,4000	-0,001
8,4400	-0,001
8,4800	-8,333E-4
8,5200	-8,333E-4
8,5600	-4,167E-4
8,6000	-4,167E-4
8,6400	-4,167E-4
8,6800	0,000
8,7200	0,000
8,7600	0,000
8,8000	0,000
8,8400	0,000
8,8800	0,000
8,9200	0,000
8,9600	0,000
9,0000	0,000
9,0400	0,000
9,0800	0,000
9,1200	0,000
9,1600	0,000
9,2000	0,000
9,2400	0,000
9,2800	0,000
9,3200	0,000
9,3600	-4,167E-4
9,4000	-4,167E-4
9,4400	-4,167E-4
9,4800	-4,167E-4
9,5200	-4,167E-4
9,5600	-4,167E-4
9,6000	-4,167E-4
9,6400	-4,167E-4
9,6800	-4,167E-4
9,7200	-4,167E-4
9,7600	-4,167E-4
9,8000	-4,167E-4
9,8400	-4,167E-4
9,8800	-4,167E-4
9,9200	-4,167E-4
9,9600	-4,167E-4
10,0000	-4,167E-4
10,0400	-4,167E-4
10,0800	-4,167E-4
10,1200	-4,167E-4
10,1600	-4,167E-4
10,2000	-4,167E-4
10,2400	0,000
10,2800	-4,167E-4
10,3200	-4,167E-4
10,3600	-4,167E-4
10,4000	-4,167E-4
10,4400	-4,167E-4
10,4800	-4,167E-4
10,5200	-4,167E-4
10,5600	-4,167E-4
10,6000	-4,167E-4
10,6400	-4,167E-4
10,6800	-4,167E-4
10,7200	-4,167E-4
10,7600	-4,167E-4
10,8000	-4,167E-4
10,8400	-4,167E-4
10,8800	-4,167E-4
10,9200	-4,167E-4
10,9600	-4,167E-4
11,0000	-4,167E-4
11,0400	-4,167E-4
11,0800	-4,167E-4
11,1200	-4,167E-4
11,1600	-4,167E-4
11,2000	-4,167E-4
11,2400	-4,167E-4
11,2800	-4,167E-4
11,3200	-4,167E-4
11,3600	-4,167E-4
11,4000	-4,167E-4
11,4400	-4,167E-4
11,4800	-4,167E-4
11,5200	-4,167E-4
11,5600	-4,167E-4
11,6000	-4,167E-4
11,6400	-4,167E-4
11,6800	-4,167E-4
11,7200	-4,167E-4
11,7600	-4,167E-4
11,8000	-4,167E-4
11,8400	-4,167E-4
11,8800	-4,167E-4
11,9200	-4,167E-4
11,9600	-4,167E-4
12,0000	-4,167E-4
12,0400	-4,167E-4
12,0800	-4,167E-4
12,1200	-4,167E-4
12,1600	-4,167E-4
12,2000	-4,167E-4
12,2400	-4,167E-4
12,2800	-4,167E-4
12,3200	-4,167E-4
12,3600	-4,167E-4
12,4000	-4,167E-4
12,4400	-4,167E-4
12,4800	-4,167E-4
12,5200	-4,167E-4
12,5600	-4,167E-4
12,6000	0,000
12,6400	0,000
12,6800	0,000
12,7200	0,000
12,7600	0,000
12,8000	0,000
12,8400	-4,167E-4
12,8800	-4,167E-4
12,9200	-4,167E-4
12,9600	-4,167E-4
13,0000	-4,167E-4
13,0400	-4,167E-4
13,0800	-4,167E-4
13,1200	-4,167E-4
13,1600	-4,167E-4
13,2000	-4,167E-4
13,2400	-4,167E-4
13,2800	-4,167E-4
13,3200	-4,167E-4
13,3600	-4,167E-4
13,4000	-4,167E-4
13,4400	-4,167E-4
13,4800	-4,167E-4
13,5200	-4,167E-4
13,5600	-4,167E-4
13,6000	-4,167E-4
13,6400	-4,167E-4
13,6800	-4,167E-4
13,7200	-4,167E-4
13,7600	-4,167E-4
13,8000	-4,167E-4
13,8400	0,000
13,8800	0,000
13,9200	0,000
13,9600	0,000
14,0000	0,000
14,0400	0,000
14,0800	-4,167E-4
14,1200	-4,167E-4
14,1600	-4,167E-4
14,2000	-4,167E-4
14,2400	-4,167E-4
14,2800	-4,167E-4
14,3200	-4,167E-4
14,3600	-4,167E-4
14,4000	-4,167E-4
14,4400	-4,167E-4
14,4800	-4,167E-4
14,5200	-4,167E-4
14,5600	-4,167E-4
14,6000	-4,167E-4
14,6400	-4,167E-4
14,6800	-4,167E-4
14,7200	-4,167E-4
