#Position, Run #26
#Time ( s )	Position ( m )
0,0000	0,000
0,0400	0,000
0,0800	0,000
0,1200	0,000
0,1600	0,000
0,2000	0,000
0,2400	0,000
0,2800	0,000
0,3200	0,000
0,3600	0,000
0,4000	0,000
0,4400	0,000
0,4800	0,000
0,5200	0,000
0,5600	0,000
0,6000	0,000
0,6400	0,000
0,6800	0,000
0,7200	0,000
0,7600	0,000
0,8000	0,000
0,8400	0,000
0,8800	0,000
0,9200	0,000
0,9600	0,000
1,0000	0,000
1,0400	0,000
1,0800	0,000
1,1200	0,000
1,1600	0,000
1,2000	0,000
1,2400	0,000
1,2800	0,000
1,3200	0,000
1,3600	0,000
1,4000	0,000
1,4400	0,000
1,4800	0,000
1,5200	0,000
1,5600	0,000
1,6000	4,167E-4
1,6400	0,002
1,6800	0,003
1,7200	0,005
1,7600	0,006
1,8000	0,007
1,8400	0,007
1,8800	0,007
1,9200	0,006
1,9600	0,005
2,0000	0,002
2,0400	-0,001
2,0800	-0,006
2,1200	-0,011
2,1600	-0,017
2,2000	-0,023
2,2400	-0,029
2,2800	-0,034
2,3200	-0,039
2,3600	-0,043
2,4000	-0,046
2,4400	-0,049
2,4800	-0,052
2,5200	-0,054
2,5600	-0,057
2,6000	-0,060
2,6400	-0,063
2,6800	-0,065
2,7200	-0,067
2,7600	-0,070
2,8000	-0,073
2,8400	-0,075
2,8800	-0,078
2,9200	-0,082
2,9600	-0,085
3,0000	-0,088
3,0400	-0,091
3,0800	-0,093
3,1200	-0,096
3,1600	-0,099
3,2000	-0,102
3,2400	-0,105
3,2800	-0,107
3,3200	-0,108
3,3600	-0,109
3,4000	-0,110
3,4400	-0,110
3,4800	-0,110
3,5200	-0,110
3,5600	-0,110
3,6000	-0,110
3,6400	-0,111
3,6800	-0,113
3,7200	-0,113
3,7600	-0,114
3,8000	-0,114
3,8400	-0,114
3,8800	-0,114
3,9200	-0,115
3,9600	-0,115
4,0000	-0,115
4,0400	-0,115
4,0800	-0,115
4,1200	-0,116
4,1600	-0,116
4,2000	-0,116
4,2400	-0,116
4,2800	-0,115
4,3200	-0,115
4,3600	-0,115
4,4000	-0,116
4,4400	-0,116
4,4800	-0,114
4,5200	-0,112
4,5600	-0,108
4,6000	-0,103
4,6400	-0,097
4,6800	-0,090
4,7200	-0,083
4,7600	-0,076
4,8000	-0,069
4,8400	-0,062
4,8800	-0,055
4,9200	-0,049
4,9600	-0,043
5,0000	-0,037
5,0400	-0,032
5,0800	-0,027
5,1200	-0,023
5,1600	-0,019
5,2000	-0,015
5,2400	-0,013
5,2800	-0,010
5,3200	-0,008
5,3600	-0,006
5,4000	-0,005
5,4400	-0,003
5,4800	-0,002
5,5200	-0,001
5,5600	-4,167E-4
5,6000	4,167E-4
5,6400	8,333E-4
5,6800	0,001
5,7200	0,002
5,7600	0,002
5,8000	0,002
5,8400	0,002
5,8800	0,002
5,9200	0,002
5,9600	0,002
6,0000	0,002
6,0400	0,002
6,0800	0,002
6,1200	0,002
6,1600	0,002
6,2000	0,002
6,2400	0,002
6,2800	0,002
6,3200	0,002
6,3600	0,002
6,4000	0,002
6,4400	0,002
6,4800	0,002
6,5200	0,002
6,5600	0,002
6,6000	0,002
6,6400	0,002
6,6800	0,002
6,7200	0,002
6,7600	0,002
6,8000	0,002
6,8400	0,002
6,8800	0,002
6,9200	0,002
6,9600	0,002
7,0000	0,002
7,0400	0,002
7,0800	0,002
7,1200	0,002
7,1600	0,002
7,2000	0,002
7,2400	0,002
7,2800	0,002
7,3200	0,002
7,3600	0,002
7,4000	0,002
7,4400	0,002
7,4800	0,002
7,5200	0,002
7,5600	0,002
7,6000	0,002
7,6400	0,002
7,6800	0,002
7,7200	0,002
7,7600	0,002
7,8000	0,002
7,8400	0,002
7,8800	0,002
7,9200	0,002
7,9600	0,002
8,0000	0,002
8,0400	0,002
8,0800	0,002
8,1200	0,002
8,1600	0,002
8,2000	0,002
8,2400	0,002
8,2800	0,002
8,3200	0,002
8,3600	0,002
8,4000	0,002
8,4400	0,002
8,4800	0,002
8,5200	0,002
8,5600	0,002
8,6000	0,002
8,6400	0,002
8,6800	0,002
8,7200	0,002
8,7600	0,002
8,8000	0,002
8,8400	0,002
8,8800	0,002
8,9200	0,002
8,9600	0,002
9,0000	0,002
