#U [V]	n [-]
0	4,5
0,1	798
0,2	690
0,3	548
0,4	410
0,5	408
0,6	404
0,7	416
0,8	409
0,9	440
1	461
1,1	443
1,2	427
1,3	412
1,4	409
1,5	409
1,6	399
1,7	401
1,8	408
1,9	389
2	358
2,1	327
2,2	225
2,3	191
2,4	178
2,5	215
2,6	281
2,7	423
2,8	591
2,9	948
3	986
3,1	651
3,2	462
3,3	158
3,4	103
3,5	85
3,6	62
3,7	56
3,8	52
3,9	41
4	38
4,1	32
4,2	30
4,3	26
4,4	25
4,5	24
4,6	23
4,7	18
4,8	17
4,9	15
