#t [s]	p [Pa]
0,00	1,00E+05
4,23	5,00E+04
8,11	2,00E+04
12,67	1,00E+04
17,77	5,00E+03
23,88	2,00E+03
35,18	1,00E+03
50,98	5,00E+02
81,34	2,00E+02
145,11	1,00E+02
282,90	5,00E+01
534,00	2,00E+01
560,00	1,00E+01
590,00	5,00E+00
664,00	2,00E+00
714,02	1,00E+00
800,73	5,00E-01
915,37	2,00E-01
1068,97	1,00E-01
1742,38	1,00E-02
