#t [s]	p [Pa]
0	1,00E+05
91,7	5,00E+04
262,23	2,00E+04
334,43	1,00E+04
369,83	5,00E+03
408,61	2,00E+03
449,19	1,00E+03
484,79	5,00E+02
535,96	2,00E+02
586,23	1,00E+02
664,72	5,00E+01
830,11	2,00E+01
1200,95	1,00E+01
2183,57	5,00E+00
2691,11	2,00E+02
2759,82	1,00E+02
2833,24	5,00E+01
2948,68	2,00E+01
3040,3	1,00E+01
3179,69	5,00E+00
3534,09	2,00E+00
3829,66	1,00E+00
